Authority,Period,Count
E10000011,2023-04-01/P1M,8961
E10000011,2023-05-01/P1M,8881
E10000011,2023-06-01/P1M,9273
E10000011,2023-07-01/P1M,11317
E10000011,2023-08-01/P1M,11276
E10000011,2023-09-01/P1M,10165
E10000011,2023-10-01/P1M,10172
E10000011,2023-11-01/P1M,9479
E10000011,2023-12-01/P1M,7892
E10000011,2024-01-01/P1M,11232
E10000011,2024-02-01/P1M,10533
E10000011,2024-03-01/P1M,10666
E10000014,2023-04-01/P1M,13433
E10000014,2023-05-01/P1M,13049
E10000014,2023-06-01/P1M,13266
E10000014,2023-07-01/P1M,16270
E10000014,2023-08-01/P1M,15525
E10000014,2023-09-01/P1M,14846
E10000014,2023-10-01/P1M,14666
E10000014,2023-11-01/P1M,13356
E10000014,2023-12-01/P1M,10160
E10000014,2024-01-01/P1M,14243
E10000014,2024-02-01/P1M,13682
E10000014,2024-03-01/P1M,13855
E09000003,2023-03-01/P3M,20186
E09000003,2023-06-01/P3M,22795
E09000003,2023-09-01/P3M,21342
E09000003,2023-12-01/P3M,24722
E08000004,2023-04-01/P1M,1
E08000004,2023-05-01/P1M,1
E08000004,2023-06-01/P1M,2
E08000004,2023-07-01/P1M,2
E08000004,2023-08-01/P1M,1
E08000004,2023-09-01/P1M,1
E08000004,2023-10-01/P1M,1
E08000004,2023-11-01/P1M,2
E08000004,2023-12-01/P1M,1
E08000004,2024-01-01/P1M,1
E08000004,2024-03-01/P1M,2
E08000029,2023-04-01/P1Y,1
E06000034,2023-04-01/P1Y,170
