Authority,Event type,Age group,Period,Count
E09000001,Physical,All ages,2023-06-01/P3M,7956
E09000001,Physical,All ages,2023-09-01/P3M,7152
E09000001,Physical,All ages,2023-12-01/P3M,8204
E09000001,Physical,All ages,2024-03-01/P3M,8181
E09000001,Physical,Adults,2023-06-01/P3M,5617
E09000001,Physical,Adults,2023-09-01/P3M,3821
E09000001,Physical,Adults,2023-12-01/P3M,4487
E09000001,Physical,Adults,2024-03-01/P3M,4777
E09000001,Physical,Under 12,2023-06-01/P3M,2339
E09000001,Physical,Under 12,2023-09-01/P3M,3331
E09000001,Physical,Under 12,2023-12-01/P3M,3717
E09000001,Physical,Under 12,2024-03-01/P3M,3404
E09000001,Digital,All ages,2023-06-01/P3M,510
E09000001,Digital,All ages,2023-09-01/P3M,274
E09000001,Digital,All ages,2023-12-01/P3M,376
E09000001,Digital,All ages,2024-03-01/P3M,449
E09000001,Digital,Adults,2023-06-01/P3M,510
E09000001,Digital,Adults,2023-09-01/P3M,274
E09000001,Digital,Adults,2023-12-01/P3M,376
E09000001,Digital,Adults,2024-03-01/P3M,449
E08000016,Physical,All ages,2023-04-01/P1M,3159
E08000016,Physical,All ages,2023-05-01/P1M,3392
E08000016,Physical,All ages,2023-06-01/P1M,3152
E08000016,Physical,All ages,2023-07-01/P1M,3335
E08000016,Physical,All ages,2023-08-01/P1M,3854
E08000016,Physical,All ages,2023-09-01/P1M,8196
E08000016,Physical,All ages,2023-10-01/P1M,3329
E08000016,Physical,All ages,2023-11-01/P1M,4207
E08000016,Physical,All ages,2023-12-01/P1M,3991
E08000016,Physical,All ages,2024-01-01/P1M,3506
E08000016,Physical,All ages,2024-02-01/P1M,4653
E08000016,Physical,All ages,2024-03-01/P1M,5156
E08000016,Physical,Adults,2023-04-01/P1M,2393
E08000016,Physical,Adults,2023-05-01/P1M,2748
E08000016,Physical,Adults,2023-06-01/P1M,2777
E08000016,Physical,Adults,2023-07-01/P1M,2699
E08000016,Physical,Adults,2023-08-01/P1M,2507
E08000016,Physical,Adults,2023-09-01/P1M,7517
E08000016,Physical,Adults,2023-10-01/P1M,2843
E08000016,Physical,Adults,2023-11-01/P1M,3549
E08000016,Physical,Adults,2023-12-01/P1M,2720
E08000016,Physical,Adults,2024-01-01/P1M,2687
E08000016,Physical,Adults,2024-02-01/P1M,3660
E08000016,Physical,Adults,2024-03-01/P1M,3983
E08000016,Physical,Under 12,2023-04-01/P1M,766
E08000016,Physical,Under 12,2023-05-01/P1M,644
E08000016,Physical,Under 12,2023-06-01/P1M,375
E08000016,Physical,Under 12,2023-07-01/P1M,636
E08000016,Physical,Under 12,2023-08-01/P1M,1347
E08000016,Physical,Under 12,2023-09-01/P1M,679
E08000016,Physical,Under 12,2023-10-01/P1M,486
E08000016,Physical,Under 12,2023-11-01/P1M,658
E08000016,Physical,Under 12,2023-12-01/P1M,1271
E08000016,Physical,Under 12,2024-01-01/P1M,819
E08000016,Physical,Under 12,2024-02-01/P1M,993
E08000016,Physical,Under 12,2024-03-01/P1M,1173
E06000022,Physical,All ages,2023-04-01/P1M,1584
E06000022,Physical,All ages,2023-05-01/P1M,1789
E06000022,Physical,All ages,2023-06-01/P1M,1441
E06000022,Physical,All ages,2023-07-01/P1M,1518
E06000022,Physical,All ages,2023-08-01/P1M,1016
E06000022,Physical,All ages,2023-09-01/P1M,1591
E06000022,Physical,All ages,2023-10-01/P1M,2275
E06000022,Physical,All ages,2023-11-01/P1M,2303
E06000022,Physical,All ages,2023-12-01/P1M,1082
E06000022,Physical,All ages,2024-01-01/P1M,2240
E06000022,Physical,All ages,2024-02-01/P1M,2187
E06000022,Physical,All ages,2024-03-01/P1M,2198
E06000022,Physical,Adults,2023-04-01/P1M,641
E06000022,Physical,Adults,2023-05-01/P1M,715
E06000022,Physical,Adults,2023-06-01/P1M,615
E06000022,Physical,Adults,2023-07-01/P1M,615
E06000022,Physical,Adults,2023-08-01/P1M,446
E06000022,Physical,Adults,2023-09-01/P1M,684
E06000022,Physical,Adults,2023-10-01/P1M,817
E06000022,Physical,Adults,2023-11-01/P1M,1030
E06000022,Physical,Adults,2023-12-01/P1M,420
E06000022,Physical,Adults,2024-01-01/P1M,969
E06000022,Physical,Adults,2024-02-01/P1M,938
E06000022,Physical,Adults,2024-03-01/P1M,906
E06000022,Physical,Under 12,2023-04-01/P1M,943
E06000022,Physical,Under 12,2023-05-01/P1M,1074
E06000022,Physical,Under 12,2023-06-01/P1M,826
E06000022,Physical,Under 12,2023-07-01/P1M,903
E06000022,Physical,Under 12,2023-08-01/P1M,570
E06000022,Physical,Under 12,2023-09-01/P1M,907
E06000022,Physical,Under 12,2023-10-01/P1M,1458
E06000022,Physical,Under 12,2023-11-01/P1M,1772
E06000022,Physical,Under 12,2023-12-01/P1M,662
E06000022,Physical,Under 12,2024-01-01/P1M,1211
E06000022,Physical,Under 12,2024-02-01/P1M,1249
E06000022,Physical,Under 12,2024-03-01/P1M,1292
E06000022,Digital,All ages,2023-04-01/P1M,9
E06000022,Digital,All ages,2023-05-01/P1M,7
E06000022,Digital,All ages,2023-06-01/P1M,9
E06000022,Digital,All ages,2023-07-01/P1M,9
E06000022,Digital,All ages,2023-08-01/P1M,7
E06000022,Digital,All ages,2023-09-01/P1M,8
