Authority,Event type,Age group,Period,Count
E09000001,Physical,All ages,2023-06-01/P3M,535
E09000001,Physical,All ages,2023-09-01/P3M,453
E09000001,Physical,All ages,2023-12-01/P3M,774
E09000001,Physical,All ages,2024-03-01/P3M,1281
E09000001,Physical,Adults,2023-06-01/P3M,364
E09000001,Physical,Adults,2023-09-01/P3M,194
E09000001,Physical,Adults,2023-12-01/P3M,489
E09000001,Physical,Adults,2024-03-01/P3M,971
E09000001,Physical,Under 12,2023-06-01/P3M,130
E09000001,Physical,Under 12,2023-09-01/P3M,168
E09000001,Physical,Under 12,2023-12-01/P3M,204
E09000001,Physical,Under 12,2024-03-01/P3M,213
E09000001,Physical,All Ages,2023-06-01/P3M,41
E09000001,Physical,All Ages,2023-09-01/P3M,91
E09000001,Physical,All Ages,2023-12-01/P3M,81
E09000001,Physical,All Ages,2024-03-01/P3M,97
E09000001,Digital,All ages,2023-06-01/P3M,43
E09000001,Digital,All ages,2023-09-01/P3M,32
E09000001,Digital,All ages,2023-12-01/P3M,43
E09000001,Digital,All ages,2024-03-01/P3M,46
E09000001,Digital,Adults,2023-06-01/P3M,43
E09000001,Digital,Adults,2023-09-01/P3M,32
E09000001,Digital,Adults,2023-12-01/P3M,43
E09000001,Digital,Adults,2024-03-01/P3M,46
E09000001,Physical,All ages,2023-06-01/P3M,535
E09000001,Physical,All ages,2023-09-01/P3M,453
E09000001,Physical,All ages,2023-12-01/P3M,774
E09000001,Physical,All ages,2024-03-01/P3M,1281
E09000001,Physical,Adults,2023-06-01/P3M,364
E09000001,Physical,Adults,2023-09-01/P3M,194
E09000001,Physical,Adults,2023-12-01/P3M,489
E09000001,Physical,Adults,2024-03-01/P3M,971
E09000001,Physical,Under 12,2023-06-01/P3M,130
E09000001,Physical,Under 12,2023-09-01/P3M,168
E09000001,Physical,Under 12,2023-12-01/P3M,204
E09000001,Physical,Under 12,2024-03-01/P3M,213
E09000001,Physical,All Ages,2023-06-01/P3M,41
E09000001,Physical,All Ages,2023-09-01/P3M,91
E09000001,Physical,All Ages,2023-12-01/P3M,81
E09000001,Physical,All Ages,2024-03-01/P3M,97
E09000001,Digital,All ages,2023-06-01/P3M,43
E09000001,Digital,All ages,2023-09-01/P3M,32
E09000001,Digital,All ages,2023-12-01/P3M,43
E09000001,Digital,All ages,2024-03-01/P3M,46
E09000001,Digital,Adults,2023-06-01/P3M,43
E09000001,Digital,Adults,2023-09-01/P3M,32
E09000001,Digital,Adults,2023-12-01/P3M,43
E09000001,Digital,Adults,2024-03-01/P3M,46
E08000016,Physical,All ages,2023-04-01/P1M,335
E08000016,Physical,All ages,2023-05-01/P1M,426
E08000016,Physical,All ages,2023-06-01/P1M,423
E08000016,Physical,All ages,2023-07-01/P1M,422
E08000016,Physical,All ages,2023-08-01/P1M,441
E08000016,Physical,All ages,2023-09-01/P1M,387
E08000016,Physical,All ages,2023-10-01/P1M,445
E08000016,Physical,All ages,2023-11-01/P1M,426
E08000016,Physical,All ages,2023-12-01/P1M,273
E08000016,Physical,All ages,2024-01-01/P1M,353
E08000016,Physical,All ages,2024-02-01/P1M,403
E08000016,Physical,All ages,2024-03-01/P1M,372
E08000016,Physical,Adults,2023-04-01/P1M,261
E08000016,Physical,Adults,2023-05-01/P1M,342
E08000016,Physical,Adults,2023-06-01/P1M,359
E08000016,Physical,Adults,2023-07-01/P1M,333
E08000016,Physical,Adults,2023-08-01/P1M,303
E08000016,Physical,Adults,2023-09-01/P1M,342
E08000016,Physical,Adults,2023-10-01/P1M,385
E08000016,Physical,Adults,2023-11-01/P1M,352
E08000016,Physical,Adults,2023-12-01/P1M,213
E08000016,Physical,Adults,2024-01-01/P1M,279
E08000016,Physical,Adults,2024-02-01/P1M,324
E08000016,Physical,Adults,2024-03-01/P1M,281
E08000016,Physical,Under 12,2023-04-01/P1M,63
E08000016,Physical,Under 12,2023-05-01/P1M,64
E08000016,Physical,Under 12,2023-06-01/P1M,53
E08000016,Physical,Under 12,2023-07-01/P1M,83
E08000016,Physical,Under 12,2023-08-01/P1M,133
E08000016,Physical,Under 12,2023-09-01/P1M,36
E08000016,Physical,Under 12,2023-10-01/P1M,44
E08000016,Physical,Under 12,2023-11-01/P1M,66
E08000016,Physical,Under 12,2023-12-01/P1M,52
E08000016,Physical,Under 12,2024-01-01/P1M,43
E08000016,Physical,Under 12,2024-02-01/P1M,65
E08000016,Physical,Under 12,2024-03-01/P1M,61
E08000016,Physical,12-17,2023-04-01/P1M,11
E08000016,Physical,12-17,2023-05-01/P1M,16
E08000016,Physical,12-17,2023-06-01/P1M,11
E08000016,Physical,12-17,2023-07-01/P1M,6
E08000016,Physical,12-17,2023-08-01/P1M,4
E08000016,Physical,12-17,2023-09-01/P1M,8
E08000016,Physical,12-17,2023-10-01/P1M,15
E08000016,Physical,12-17,2023-11-01/P1M,8
E08000016,Physical,12-17,2023-12-01/P1M,8
E08000016,Physical,12-17,2024-01-01/P1M,9
E08000016,Physical,12-17,2024-02-01/P1M,13
E08000016,Physical,12-17,2024-03-01/P1M,29
E08000016,Physical,All Ages,2023-05-01/P1M,4
E08000016,Physical,All Ages,2023-08-01/P1M,1
E08000016,Physical,All Ages,2023-09-01/P1M,1
E08000016,Physical,All Ages,2023-10-01/P1M,1
E08000016,Physical,All Ages,2024-01-01/P1M,22
E08000016,Physical,All Ages,2024-02-01/P1M,1
E08000016,Physical,All Ages,2024-03-01/P1M,1
E08000016,Physical,All ages,2023-04-01/P1M,335
E08000016,Physical,All ages,2023-05-01/P1M,426
E08000016,Physical,All ages,2023-06-01/P1M,423
E08000016,Physical,All ages,2023-07-01/P1M,422
E08000016,Physical,All ages,2023-08-01/P1M,441
E08000016,Physical,All ages,2023-09-01/P1M,387
E08000016,Physical,All ages,2023-10-01/P1M,445
E08000016,Physical,All ages,2023-11-01/P1M,426
E08000016,Physical,All ages,2023-12-01/P1M,273
E08000016,Physical,All ages,2024-01-01/P1M,353
E08000016,Physical,All ages,2024-02-01/P1M,403
E08000016,Physical,All ages,2024-03-01/P1M,372
E08000016,Physical,Adults,2023-04-01/P1M,261
E08000016,Physical,Adults,2023-05-01/P1M,342
E08000016,Physical,Adults,2023-06-01/P1M,359
E08000016,Physical,Adults,2023-07-01/P1M,333
E08000016,Physical,Adults,2023-08-01/P1M,303
E08000016,Physical,Adults,2023-09-01/P1M,342
E08000016,Physical,Adults,2023-10-01/P1M,385
E08000016,Physical,Adults,2023-11-01/P1M,352
E08000016,Physical,Adults,2023-12-01/P1M,213
E08000016,Physical,Adults,2024-01-01/P1M,279
E08000016,Physical,Adults,2024-02-01/P1M,324
E08000016,Physical,Adults,2024-03-01/P1M,281
E08000016,Physical,Under 12,2023-04-01/P1M,63
E08000016,Physical,Under 12,2023-05-01/P1M,64
E08000016,Physical,Under 12,2023-06-01/P1M,53
E08000016,Physical,Under 12,2023-07-01/P1M,83
E08000016,Physical,Under 12,2023-08-01/P1M,133
E08000016,Physical,Under 12,2023-09-01/P1M,36
E08000016,Physical,Under 12,2023-10-01/P1M,44
E08000016,Physical,Under 12,2023-11-01/P1M,66
E08000016,Physical,Under 12,2023-12-01/P1M,52
E08000016,Physical,Under 12,2024-01-01/P1M,43
E08000016,Physical,Under 12,2024-02-01/P1M,65
E08000016,Physical,Under 12,2024-03-01/P1M,61
