Authority,Event type,Age group,Month,Count
City of London,Physical,Adults,2023-04,
City of London,Physical,Adults,2023-05,
City of London,Physical,Adults,2023-06,364
City of London,Physical,Adults,2023-07,
City of London,Physical,Adults,2023-08,
City of London,Physical,Adults,2023-09,194
City of London,Physical,Adults,2023-10,
City of London,Physical,Adults,2023-11,
City of London,Physical,Adults,2023-12,489
City of London,Physical,Adults,2024-01,
City of London,Physical,Adults,2024-02,
City of London,Physical,Adults,2024-03,971
City of London,Physical,Under 12,2023-04,
City of London,Physical,Under 12,2023-05,
City of London,Physical,Under 12,2023-06,130
City of London,Physical,Under 12,2023-07,
City of London,Physical,Under 12,2023-08,
City of London,Physical,Under 12,2023-09,168
City of London,Physical,Under 12,2023-10,
City of London,Physical,Under 12,2023-11,
City of London,Physical,Under 12,2023-12,204
City of London,Physical,Under 12,2024-01,
City of London,Physical,Under 12,2024-02,
City of London,Physical,Under 12,2024-03,213
City of London,Physical,12-17,2023-04,
City of London,Physical,12-17,2023-05,
City of London,Physical,12-17,2023-06,
City of London,Physical,12-17,2023-07,
City of London,Physical,12-17,2023-08,
City of London,Physical,12-17,2023-09,
City of London,Physical,12-17,2023-10,
City of London,Physical,12-17,2023-11,
City of London,Physical,12-17,2023-12,
City of London,Physical,12-17,2024-01,
City of London,Physical,12-17,2024-02,
City of London,Physical,12-17,2024-03,
City of London,Physical,All Ages,2023-04,
City of London,Physical,All Ages,2023-05,
City of London,Physical,All Ages,2023-06,41
City of London,Physical,All Ages,2023-07,
City of London,Physical,All Ages,2023-08,
City of London,Physical,All Ages,2023-09,91
City of London,Physical,All Ages,2023-10,
City of London,Physical,All Ages,2023-11,
City of London,Physical,All Ages,2023-12,81
City of London,Physical,All Ages,2024-01,
City of London,Physical,All Ages,2024-02,
City of London,Physical,All Ages,2024-03,97
City of London,Digital,Adults,2023-04,
City of London,Digital,Adults,2023-05,
City of London,Digital,Adults,2023-06,43
City of London,Digital,Adults,2023-07,
City of London,Digital,Adults,2023-08,
City of London,Digital,Adults,2023-09,32
City of London,Digital,Adults,2023-10,
City of London,Digital,Adults,2023-11,
City of London,Digital,Adults,2023-12,43
City of London,Digital,Adults,2024-01,
City of London,Digital,Adults,2024-02,
City of London,Digital,Adults,2024-03,46
City of London,Digital,Under 12,2023-04,
City of London,Digital,Under 12,2023-05,
City of London,Digital,Under 12,2023-06,
City of London,Digital,Under 12,2023-07,
City of London,Digital,Under 12,2023-08,
City of London,Digital,Under 12,2023-09,
City of London,Digital,Under 12,2023-10,
City of London,Digital,Under 12,2023-11,
City of London,Digital,Under 12,2023-12,
City of London,Digital,Under 12,2024-01,
City of London,Digital,Under 12,2024-02,
City of London,Digital,Under 12,2024-03,
City of London,Digital,12-17,2023-04,
City of London,Digital,12-17,2023-05,
City of London,Digital,12-17,2023-06,
City of London,Digital,12-17,2023-07,
City of London,Digital,12-17,2023-08,
City of London,Digital,12-17,2023-09,
City of London,Digital,12-17,2023-10,
City of London,Digital,12-17,2023-11,
City of London,Digital,12-17,2023-12,
City of London,Digital,12-17,2024-01,
City of London,Digital,12-17,2024-02,
City of London,Digital,12-17,2024-03,
City of London,Digital,All Ages,2023-04,
City of London,Digital,All Ages,2023-05,
City of London,Digital,All Ages,2023-06,
City of London,Digital,All Ages,2023-07,
City of London,Digital,All Ages,2023-08,
City of London,Digital,All Ages,2023-09,
City of London,Digital,All Ages,2023-10,
City of London,Digital,All Ages,2023-11,
City of London,Digital,All Ages,2023-12,
City of London,Digital,All Ages,2024-01,
City of London,Digital,All Ages,2024-02,
City of London,Digital,All Ages,2024-03,
Barnsley,Physical,Adults,2023-04,261
Barnsley,Physical,Adults,2023-05,342
Barnsley,Physical,Adults,2023-06,359
Barnsley,Physical,Adults,2023-07,333
Barnsley,Physical,Adults,2023-08,303
Barnsley,Physical,Adults,2023-09,342
Barnsley,Physical,Adults,2023-10,385
Barnsley,Physical,Adults,2023-11,352
Barnsley,Physical,Adults,2023-12,213
Barnsley,Physical,Adults,2024-01,279
Barnsley,Physical,Adults,2024-02,324
Barnsley,Physical,Adults,2024-03,281
Barnsley,Physical,Under 12,2023-04,63
Barnsley,Physical,Under 12,2023-05,64
Barnsley,Physical,Under 12,2023-06,53
Barnsley,Physical,Under 12,2023-07,83
Barnsley,Physical,Under 12,2023-08,133
Barnsley,Physical,Under 12,2023-09,36
Barnsley,Physical,Under 12,2023-10,44
Barnsley,Physical,Under 12,2023-11,66
Barnsley,Physical,Under 12,2023-12,52
Barnsley,Physical,Under 12,2024-01,43
Barnsley,Physical,Under 12,2024-02,65
Barnsley,Physical,Under 12,2024-03,61
Barnsley,Physical,12-17,2023-04,11
Barnsley,Physical,12-17,2023-05,16
Barnsley,Physical,12-17,2023-06,11
Barnsley,Physical,12-17,2023-07,6
Barnsley,Physical,12-17,2023-08,4
Barnsley,Physical,12-17,2023-09,8
Barnsley,Physical,12-17,2023-10,15
Barnsley,Physical,12-17,2023-11,8
Barnsley,Physical,12-17,2023-12,8
Barnsley,Physical,12-17,2024-01,9
Barnsley,Physical,12-17,2024-02,13
