Authority,Format,Content age group,Period,Count
E09000001,Physical book,Adult,2023-04-01/P3M,54118
E09000001,Physical book,Adult,2023-07-01/P3M,55849
E09000001,Physical book,Adult,2023-10-01/P3M,51785
E09000001,Physical book,Adult,2024-01-01/P3M,56972
E09000001,Physical book,Under 12,2023-04-01/P3M,12070
E09000001,Physical book,Under 12,2023-07-01/P3M,13818
E09000001,Physical book,Under 12,2023-10-01/P3M,13509
E09000001,Physical book,Under 12,2024-01-01/P3M,14022
E09000001,Physical book,12-17,2023-04-01/P3M,168
E09000001,Physical book,12-17,2023-07-01/P3M,156
E09000001,Physical book,12-17,2023-10-01/P3M,183
E09000001,Physical book,12-17,2024-01-01/P3M,184
E09000001,Physical audiobook,Adult,2023-04-01/P3M,1214
E09000001,Physical audiobook,Adult,2023-07-01/P3M,1159
E09000001,Physical audiobook,Adult,2023-10-01/P3M,1153
E09000001,Physical audiobook,Adult,2024-01-01/P3M,1353
E09000001,Physical audiobook,Under 12,2023-04-01/P3M,20
E09000001,Physical audiobook,Under 12,2023-07-01/P3M,32
E09000001,Physical audiobook,Under 12,2023-10-01/P3M,23
E09000001,Physical audiobook,Under 12,2024-01-01/P3M,51
E09000001,Physical audiobook,12-17,2023-06-01/P1M,2
E09000001,Ebook,Adult,2023-04-01/P3M,6004
E09000001,Ebook,Adult,2023-07-01/P3M,7481
E09000001,Ebook,Adult,2023-10-01/P3M,7769
E09000001,Ebook,Adult,2024-01-01/P3M,8874
E09000001,Ebook,Under 12,2023-04-01/P3M,594
E09000001,Ebook,Under 12,2023-07-01/P3M,618
E09000001,Ebook,Under 12,2023-10-01/P3M,734
E09000001,Ebook,Under 12,2024-01-01/P3M,743
E09000001,Ebook,12-17,2023-04-01/P3M,172
E09000001,Ebook,12-17,2023-07-01/P3M,254
E09000001,Ebook,12-17,2023-10-01/P3M,245
E09000001,Ebook,12-17,2024-01-01/P3M,308
E09000001,Eaudio,Adult,2023-04-01/P3M,3494
E09000001,Eaudio,Adult,2023-07-01/P3M,3791
E09000001,Eaudio,Adult,2023-10-01/P3M,3986
E09000001,Eaudio,Adult,2024-01-01/P3M,4682
E09000001,Eaudio,Under 12,2023-04-01/P3M,385
E09000001,Eaudio,Under 12,2023-07-01/P3M,446
E09000001,Eaudio,Under 12,2023-10-01/P3M,501
E09000001,Eaudio,Under 12,2024-01-01/P3M,486
E09000001,Eaudio,12-17,2023-04-01/P3M,93
E09000001,Eaudio,12-17,2023-07-01/P3M,90
E09000001,Eaudio,12-17,2023-10-01/P3M,77
E09000001,Eaudio,12-17,2024-01-01/P3M,123
E08000016,Physical book,Adult,2023-04-01/P1M,16287
E08000016,Physical book,Adult,2023-05-01/P1M,17747
E08000016,Physical book,Adult,2023-06-01/P1M,19337
E08000016,Physical book,Adult,2023-07-01/P1M,18491
E08000016,Physical book,Adult,2023-08-01/P1M,19007
E08000016,Physical book,Adult,2023-09-01/P1M,18081
E08000016,Physical book,Adult,2023-10-01/P1M,18060
E08000016,Physical book,Adult,2023-11-01/P1M,17568
E08000016,Physical book,Adult,2023-12-01/P1M,14169
E08000016,Physical book,Adult,2024-01-01/P1M,17521
E08000016,Physical book,Adult,2024-02-01/P1M,17856
E08000016,Physical book,Adult,2024-03-01/P1M,16539
E08000016,Physical book,Under 12,2023-04-01/P1M,9851
E08000016,Physical book,Under 12,2023-05-01/P1M,9473
E08000016,Physical book,Under 12,2023-06-01/P1M,8555
E08000016,Physical book,Under 12,2023-07-01/P1M,12720
E08000016,Physical book,Under 12,2023-08-01/P1M,14829
E08000016,Physical book,Under 12,2023-09-01/P1M,10097
E08000016,Physical book,Under 12,2023-10-01/P1M,9515
E08000016,Physical book,Under 12,2023-11-01/P1M,9538
E08000016,Physical book,Under 12,2023-12-01/P1M,5994
E08000016,Physical book,Under 12,2024-01-01/P1M,7845
E08000016,Physical book,Under 12,2024-02-01/P1M,10790
E08000016,Physical book,Under 12,2024-03-01/P1M,9771
E08000016,Physical book,12-17,2023-04-01/P1M,1101
E08000016,Physical book,12-17,2023-05-01/P1M,1083
E08000016,Physical book,12-17,2023-06-01/P1M,1230
E08000016,Physical book,12-17,2023-07-01/P1M,1622
E08000016,Physical book,12-17,2023-08-01/P1M,2019
E08000016,Physical book,12-17,2023-09-01/P1M,1481
E08000016,Physical book,12-17,2023-10-01/P1M,1400
E08000016,Physical book,12-17,2023-11-01/P1M,1353
E08000016,Physical book,12-17,2023-12-01/P1M,951
E08000016,Physical book,12-17,2024-01-01/P1M,1194
E08000016,Physical book,12-17,2024-02-01/P1M,1405
E08000016,Physical book,12-17,2024-03-01/P1M,1534
E08000016,Physical audiobook,Adult,2023-04-01/P1M,225
E08000016,Physical audiobook,Adult,2023-05-01/P1M,255
E08000016,Physical audiobook,Adult,2023-06-01/P1M,251
E08000016,Physical audiobook,Adult,2023-07-01/P1M,234
E08000016,Physical audiobook,Adult,2023-08-01/P1M,238
E08000016,Physical audiobook,Adult,2023-09-01/P1M,226
