Authority,Age group,Count
City of London,Total,16616
City of London,Under 12,1278
City of London,Adults,15171
City of London,12-17,167
Barnsley,Total,13835
Barnsley,Under 12,
Barnsley,Adults,
Barnsley,12-17,
Bath and North East Somerset,Total,23250
Bath and North East Somerset,Under 12,
Bath and North East Somerset,Adults,
Bath and North East Somerset,12-17,
Blackburn with Darwen,Total,10530
Blackburn with Darwen,Under 12,3257
Blackburn with Darwen,Adults,6315
Blackburn with Darwen,12-17,958
Blackpool,Total,8861
Blackpool,Under 12,3558
Blackpool,Adults,4696
Blackpool,12-17,607
Bolton,Total,17931
Bolton,Under 12,6638
Bolton,Adults,9028
Bolton,12-17,2265
"Bournemouth, Christchurch and Poole",Total,40275
"Bournemouth, Christchurch and Poole",Under 12,
"Bournemouth, Christchurch and Poole",Adults,
"Bournemouth, Christchurch and Poole",12-17,
Bracknell Forest,Total,259229
Bracknell Forest,Under 12,46892
Bracknell Forest,Adults,174848
Bracknell Forest,12-17,37489
Bradford,Total,32861
Bradford,Under 12,
Bradford,Adults,
Bradford,12-17,
Brent,Total,27368
Brent,Under 12,457
Brent,Adults,1768
Brent,12-17,294
"Bristol, City of",Total,73102
"Bristol, City of",Under 12,16557
"Bristol, City of",Adults,52886
"Bristol, City of",12-17,3659
Bromley,Total,33543
Bromley,Under 12,9566
Bromley,Adults,20770
Bromley,12-17,3018
Buckinghamshire,Total,40617
Buckinghamshire,Under 12,12701
Buckinghamshire,Adults,24577
Buckinghamshire,12-17,2736
Bury,Total,13421
Bury,Under 12,
Bury,Adults,9603
Bury,12-17,
Calderdale,Total,17461
Calderdale,Under 12,5384
Calderdale,Adults,10388
Calderdale,12-17,1657
Cambridgeshire,Total,58387
Cambridgeshire,Under 12,21048
Cambridgeshire,Adults,33416
Cambridgeshire,12-17,3729
Central Bedfordshire,Total,24428
Central Bedfordshire,Under 12,9562
Central Bedfordshire,Adults,14482
Central Bedfordshire,12-17,384
Cheshire West and Chester,Total,45182
Cheshire West and Chester,Under 12,13725
Cheshire West and Chester,Adults,29320
Cheshire West and Chester,12-17,2137
Cornwall,Total,48588
Cornwall,Under 12,13926
Cornwall,Adults,26624
Cornwall,12-17,3744
Coventry,Total,20746
Coventry,Under 12,8607
Coventry,Adults,9619
Coventry,12-17,2520
Cumberland,Total,16804
Cumberland,Under 12,
Cumberland,Adults,
Cumberland,12-17,
Darlington,Total,6664
Darlington,Under 12,
Darlington,Adults,
Darlington,12-17,
Derby,Total,26699
Derby,Under 12,
Derby,Adults,
Derby,12-17,
Derbyshire,Total,77253
Derbyshire,Under 12,21964
Derbyshire,Adults,51307
Derbyshire,12-17,3982
Devon,Total,120371
Devon,Under 12,28493
Devon,Adults,83881
Devon,12-17,7997
Doncaster,Total,13579
Doncaster,Under 12,3719
Doncaster,Adults,9076
Doncaster,12-17,607
Dorset,Total,26493
Dorset,Under 12,7460
Dorset,Adults,17585
Dorset,12-17,1448
