Authority code,Authority nice name,Library service,Period,Users,Events,Attendance,Loans,Visits,Computer hours,Wifi sessions,Population under 12,Population 12-17,Population adult,Nearest neighbour 1,Nearest neighbour 2,Nearest neighbour 3,Nearest neighbour 4,Nearest neighbour 5
E09000001,City of London,Barbican & Community Libraries,2023/2024,16616,3207,33102,329791,341486,20272,,546,301,14264,E09000033,E09000007,E06000053,E06000014,E06000022
E08000016,Barnsley,Barnsley,2023/2024,13835,4706,49930,379787,578334,37207,,33907,17892,199971,E08000036,E08000008,E08000018,E06000003,E08000034
E06000022,Bath and North East Somerset,Bath & North East Somerset,2023/2024,23250,,21753,497438,396903,31584,,22974,13627,163427,E10000032,E06000014,E10000011,E06000054,E10000018
E06000008,Blackburn with Darwen,Blackburn With Darwen,2023/2024,10530,1519,20761,220163,410133,,,26759,15045,120736,E08000005,E08000032,E08000028,E08000031,E08000001
E06000009,Blackpool,Blackpool,2023/2024,8861,,,313836,288908,23699,,18904,10019,115268,E06000018,E06000010,E06000027,E08000017,E06000021
E08000001,Bolton,Bolton Libraries & Museum Service,2023/2024,17931,4318,55802,429403,652953,53938,157398,49203,26396,234486,E08000031,E08000005,E08000032,E08000030,E08000002
E06000058,"Bournemouth, Christchurch and Poole",Bournemouth Christchurch & Poole,2023/2024,40275,,131695,1327266,1088445,81995,,47614,27196,334157,E06000033,E08000035,E06000050,E06000007,E08000007
E06000036,Bracknell Forest,Bracknell Forest,2023/2024,,1764,,225823,354156,34390,,18463,10909,101434,E10000025,E06000025,E06000042,E06000030,E10000003
E08000032,Bradford,Bradford,2023/2024,32861,,45050,641469,819497,45604,,92119,50364,421122,E08000030,E08000031,E08000025,E08000034,E06000008
E09000005,Brent,Brent Council,2023/2024,2519,1249,33145,786071,1161122,93767,,49294,25707,277975,E09000031,E09000003,E09000009,E09000024,E09000023
E06000023,City of Bristol,Bristol Libraries,2023/2024,73102,4597,50811,1611465,980945,91097,138350,61225,31480,401694,E08000035,E08000021,E06000044,E06000045,E08000006
E09000006,Bromley,Bromley,2023/2024,33354,4910,80121,1523333,1170250,88912,94707,47806,25651,261862,E09000029,E10000015,E09000021,E09000024,E08000009
E06000060,Buckinghamshire,Buckinghamshire Libraries,2023/2024,40014,4047,,1377926,1049573,32459,,83301,47165,448306,E10000015,E10000025,E10000030,E06000040,E10000014
E08000002,Bury,Bury Libraries + Archives,2023/2024,9603,2218,18680,257793,15347,15344,57230,28722,16046,154153,E08000015,E08000007,E08000027,E08000001,E06000006
E08000033,Calderdale,Calderdale Mbc Libraries,2023/2024,17429,,,434954,20345,27975,20259,28728,16402,165799,E10000011,E08000034,E10000018,E08000037,E10000028
E10000003,Cambridgeshire,Cambridgeshire Libraries,2023/2024,58193,,,1762637,1522691,92468,,92435,50489,567393,E10000031,E06000056,E10000018,E06000025,E06000011
E06000056,Central Bedfordshire,Central Bedfordshire,2023/2024,24428,4796,105858,847316,755236,,,47221,22853,245803,E10000018,E10000003,E10000031,E06000025,E10000012
E06000050,Cheshire West and Chester,Cheshire West & Chester,2023/2024,45182,9031,108410,1327355,4389566,27226,,45861,25704,300087,E10000014,E10000013,E06000058,E10000032,E10000034
E06000052,Cornwall,Cornwall Libraries,2023/2024,44294,,,1480078,796390,60757,,66427,39359,477503,E06000059,E10000008,E10000020,E06000066,E10000029
E08000026,Coventry,Coventry Libraries & Information Service,2023/2024,20746,,,789282,563418,84045,454245,55381,28180,285465,E08000035,E08000031,E08000032,E08000021,E08000002
E06000063,Cumberland,Cumberland Libraries,2023/2024,16804,,20869,535594,443253,20128,265631,33355,19134,228006,E06000064,E06000047,E06000065,E06000057,E10000007
E06000005,Darlington,Darlington Libraries,2023/2024,6664,959,38628,229040,210801,5607,,14430,8341,89718,E08000037,E08000015,E06000015,E08000013,E08000021
E06000015,Derby,Derby Libraries,2023/2024,26699,1912,17399,527654,244236,62284,,40457,21656,212036,E08000034,E06000021,E06000005,E08000026,E08000035
E10000007,Derbyshire,Derbyshire County Council,2023/2024,77253,,54261,2106649,1865814,91740,128753,99337,56818,666222,E10000017,E06000066,E10000028,E10000024,E10000020
