Authority,Period,Count
E08000001,2023-04-01/P1M,18282
E08000001,2023-05-01/P1M,22335
E08000001,2023-06-01/P1M,20484
E08000001,2023-07-01/P1M,12757
E08000001,2023-08-01/P1M,13537
E08000001,2023-09-01/P1M,12534
E08000001,2023-10-01/P1M,17536
E08000001,2023-11-01/P1M,9941
E08000001,2023-12-01/P1M,17504
E08000001,2024-01-01/P1M,8286
E08000001,2024-02-01/P1M,3062
E08000001,2024-03-01/P1M,1140
E06000023,2023-04-01/P1M,12558
E06000023,2023-05-01/P1M,14090
E06000023,2023-06-01/P1M,10525
E06000023,2023-07-01/P1M,7075
E06000023,2023-08-01/P1M,8395
E06000023,2023-09-01/P1M,11008
E06000023,2023-10-01/P1M,12916
E06000023,2023-11-01/P1M,12858
E06000023,2023-12-01/P1M,9020
E06000023,2024-01-01/P1M,13204
E06000023,2024-02-01/P1M,13713
E06000023,2024-03-01/P1M,12988
E09000006,2023-04-01/P1M,10279
E09000006,2023-05-01/P1M,9943
E09000006,2023-06-01/P1M,8260
E09000006,2023-07-01/P1M,6114
E09000006,2023-08-01/P1M,6925
E09000006,2023-09-01/P1M,7014
E09000006,2023-10-01/P1M,7201
E09000006,2023-11-01/P1M,7093
E09000006,2023-12-01/P1M,6915
E09000006,2024-01-01/P1M,8603
E09000006,2024-02-01/P1M,8106
E09000006,2024-03-01/P1M,8254
E08000002,2023-04-01/P1M,3880
E08000002,2023-05-01/P1M,4642
E08000002,2023-06-01/P1M,4569
E08000002,2023-07-01/P1M,4621
E08000002,2023-08-01/P1M,4771
E08000002,2023-09-01/P1M,4783
E08000002,2023-10-01/P1M,5411
E08000002,2023-11-01/P1M,6182
E08000002,2023-12-01/P1M,4340
E08000002,2024-01-01/P1M,4482
E08000002,2024-02-01/P1M,4615
E08000002,2024-03-01/P1M,4934
E08000033,2023-04-01/P1M,1777
E08000033,2023-05-01/P1M,1954
E08000033,2023-06-01/P1M,1700
E08000033,2023-07-01/P1M,1552
E08000033,2023-08-01/P1M,1539
E08000033,2023-09-01/P1M,1454
E08000033,2023-10-01/P1M,1563
E08000033,2023-11-01/P1M,1700
E08000033,2023-12-01/P1M,1354
E08000033,2024-01-01/P1M,2009
