Authority code,Authority nice name,Library service,Period,Members,Events,Attendance,Issues,Visits,Computer hours,Wifi sessions,Population under 12,Population 12-17,Population adult
E09000001,City of London,Barbican & Community Libraries,2023-04-01/P1Y,16616,3207,33102,329791,341486,20272,0,546,301,14264
E08000016,Barnsley,Barnsley,2023-04-01/P1Y,13835,4706,49930,379787,578334,37207,0,33907,17892,199971
E06000022,Bath and North East Somerset,Bath & North East Somerset,2023-04-01/P1Y,23250,0,21753,497438,396903,31584,0,22974,13627,163427
E06000008,Blackburn with Darwen,Blackburn With Darwen,2023-04-01/P1Y,10530,1519,20761,220163,410133,0,0,26759,15045,120736
E06000009,Blackpool,Blackpool,2023-04-01/P1Y,8861,0,0,313836,288908,23699,0,18904,10019,115268
E08000001,Bolton,Bolton Libraries & Museum Service,2023-04-01/P1Y,17931,4318,55802,429403,652953,53938,157398,49203,26396,234486
E06000058,"Bournemouth, Christchurch and Poole",Bournemouth Christchurch & Poole,2023-04-01/P1Y,40275,0,131695,1327266,1088445,81995,0,47614,27196,334157
E06000036,Bracknell Forest,Bracknell Forest,2023-04-01/P1Y,259229,1764,0,225823,354156,34390,0,18463,10909,101434
E08000032,Bradford,Bradford,2023-04-01/P1Y,32861,0,45050,641469,819497,45604,0,92119,50364,421122
E09000005,Brent,Brent Council,2023-04-01/P1Y,2519,1249,33145,786071,1161122,93767,0,49294,25707,277975
E06000023,City of Bristol,Bristol Libraries,2023-04-01/P1Y,73102,4597,50811,1611465,980945,91097,138350,61225,31480,401694
E09000006,Bromley,Bromley,2023-04-01/P1Y,33354,4910,80121,1523333,1170250,88912,94707,47806,25651,261862
E06000060,Buckinghamshire,Buckinghamshire Libraries,2023-04-01/P1Y,40014,4047,0,1377926,1049573,32459,0,83301,47165,448306
E08000002,Bury,Bury Libraries + Archives,2023-04-01/P1Y,9603,2218,18680,257793,15347,15344,57230,28722,16046,154153
E08000033,Calderdale,Calderdale Mbc Libraries,2023-04-01/P1Y,17429,0,0,434954,20345,27975,20259,28728,16402,165799
E10000003,Cambridgeshire,Cambridgeshire Libraries,2023-04-01/P1Y,58193,0,0,1762637,1522691,92468,0,92435,50489,567393
E06000056,Central Bedfordshire,Central Bedfordshire,2023-04-01/P1Y,24428,4796,105858,847316,755236,0,0,47221,22853,245803
E06000050,Cheshire West and Chester,Cheshire West & Chester,2023-04-01/P1Y,45182,9031,108410,1327355,4389566,27226,0,45861,25704,300087
E06000052,Cornwall,Cornwall Libraries,2023-04-01/P1Y,44294,0,0,1480078,796390,60757,0,66427,39359,477503
E08000026,Coventry,Coventry Libraries & Information Service,2023-04-01/P1Y,20746,0,0,789282,563418,84045,454245,55381,28180,285465
E06000063,Cumberland,Cumberland Libraries,2023-04-01/P1Y,16804,0,20869,535594,443253,20128,265631,33355,19134,228006
E06000005,Darlington,Darlington Libraries,2023-04-01/P1Y,6664,959,38628,229040,210801,5607,0,14430,8341,89718
E06000015,Derby,Derby Libraries,2023-04-01/P1Y,26699,1912,17399,527654,244236,62284,0,40457,21656,212036
E10000007,Derbyshire,Derbyshire County Council,2023-04-01/P1Y,77253,0,54261,2106649,1865814,91740,128753,99337,56818,666222
E10000008,Devon,Devon,2023-04-01/P1Y,120371,0,0,2460903,1976930,86597,147564,93226,54938,694149
E08000017,Doncaster,Doncaster,2023-04-01/P1Y,13402,0,0,320971,471878,35086,0,44589,23682,251494
E06000059,Dorset Council,Dorset,2023-04-01/P1Y,26493,0,0,1427655,974795,36530,0,40453,26696,322798
E08000027,Dudley,Dudley Libraries,2023-04-01/P1Y,28047,0,0,876053,1189079,72580,0,46653,24471,260806
E06000011,East Riding of Yorkshire,East Riding Of Yorkshire,2023-04-01/P1Y,42563,0,0,1472098,0,31745,0,39733,23290,292861
E10000011,East Sussex,East Sussex County Council,2023-04-01/P1Y,42567,0,0,860693,838668,64521,33262,65244,39184,456454
E06000014,York,Explore York Libraries & Archives,2023-04-01/P1Y,24736,3252,46827,780640,868797,35644,0,21883,12875,174543
E08000037,Gateshead,Gateshead Libraries,2023-04-01/P1Y,16865,1950,0,455912,376605,27840,0,25969,14445,162346
E09000011,Greenwich,Greenwich Libraries,2023-04-01/P1Y,25861,7580,122100,366158,2270014,148335,321128,43695,21630,234203
